term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,p_holm,significant
A,0.3035824506461818,0.013115010104632197,23.147710007402665,1.5330462812077925e-118,1.8213592233009384,0.04836774579753622,1.728985006749581,1.9186687029402727,7.099853563957944e-113,ratio of marginal means (eight cells),7.099853563957944e-113,n_engineered_features,poisson,model,False,main (Holm within endpoint),2.129956069187383e-112,True
B,0.10366548511473077,0.013115010104632192,7.904338943522152,2.6935918907604316e-15,1.204855842185114,0.03340903853051868,1.1411228695604219,1.272148371723379,1.8067827623553814e-11,ratio of marginal means (eight cells),1.8067827623553814e-11,n_engineered_features,poisson,effort,False,main (Holm within endpoint),3.613565524710763e-11,True
C,-0.019580518246671008,0.013115010104632192,-1.4929853725202402,0.13544101587564977,0.9688346883468941,0.027432635151035712,0.9165324316685532,1.024121592331896,0.26349130399148024,ratio of marginal means (eight cells),0.26349130399148024,n_engineered_features,poisson,critic,False,main (Holm within endpoint),0.26349130399148024,False
AB,-0.035447174669680497,0.013115010104632192,-2.7027943087257427,0.006875928206330629,0.9904109589041238,0.027937154706839742,0.9371412431519608,1.0467086735167062,0.73266307657114,ratio of marginal means (eight cells),0.73266307657114,n_engineered_features,poisson,model:effort,False,exploratory,,
AC,0.014904921960970017,0.013115010104632192,1.1364781149276912,0.25575651973310154,1.0152565880721092,0.028548048418210493,0.9608173561820356,1.0727803083404504,0.5902498357989386,ratio of marginal means (eight cells),0.5902498357989386,n_engineered_features,poisson,model:critic,False,exploratory,,
BC,-0.007341683107684082,0.013115010104632193,-0.5597924095453816,0.5756210416282672,0.9715061058344516,0.027428746556420098,0.9192071063229602,1.0267806973872668,0.30588702299508685,ratio of marginal means (eight cells),0.30588702299508685,n_engineered_features,poisson,effort:critic,False,exploratory,,
ABC,-0.01793179139714998,0.013115010104632192,-1.3672724042215194,0.1715399380478616,0.9635135135135258,0.027148748283027532,0.9117455581205391,1.0182207990537244,0.18712713528438774,ratio of marginal means (eight cells),0.18712713528438774,n_engineered_features,poisson,model:effort:critic,False,exploratory,,
