endpoint,endpoint_label,unit,family,link,endpoint_tier,term,label,order,coef,se,z,p_link,link_contrast,link_lo,link_hi,link_exp,link_exp_lo,link_exp_hi,link_meaning,ci_excludes_null,effect,eff_lo,eff_hi,scale,p_response,p_test,tier,p_holm,significant,verdict,structural
roc_auc,ROC-AUC,ROC-AUC,beta,logit,requested,ABC,model:effort:critic,three-way,-0.0014430511397717,0.0021623274669147,-0.6673601301613575,0.5045421264662455,-0.0115444091181736,-0.04544908078164991,0.022360262545302705,0.9885219718840654,0.9555682581219764,1.0226121269641697,ratio of ratio-of-odds-ratios,False,-0.0005332836703552,-0.0020972193107137,0.0010306519700033,difference of marginal means (eight cells),0.5039263622706149,0.5045421264662455,exploratory,,,CI only (no verdict),False
usd,Cost per run,USD,gamma,log,requested,A,model,main,0.6138558879267461,0.0227116230667342,27.02827033202494,6.878925486627801e-161,1.2277117758534921,1.1386838493709956,1.3167397023359886,3.4134099461534,3.122655774023958,3.73123658311035,ratio of means,True,3.704741732450484,3.345301661221483,4.1028022863411095,ratio of marginal means (eight cells),1.3889955710663796e-139,1.3889955710663796e-139,main (Holm within endpoint),4.1669867131991394e-139,True,significant,True
usd,Cost per run,USD,gamma,log,requested,B,effort,main,0.2028093130473116,0.0227116230667342,8.929758672526004,4.2693910730091593e-19,0.4056186260946232,0.3165906996121268,0.49464655257711954,1.5002302946564219,1.3724407164318984,1.6399185116398254,ratio of means,True,1.4146339785915654,1.256274521633751,1.592955408172498,ratio of marginal means (eight cells),1.0250836941129388e-08,1.0250836941129388e-08,main (Holm within endpoint),1.0250836941129388e-08,True,significant,False
usd,Cost per run,USD,gamma,log,requested,C,critic,main,0.5777231351263703,0.0227116230667342,25.437333713615693,9.748820076347612e-143,1.1554462702527406,1.0664183437702444,1.2444741967352368,3.175440205872077,2.904956290148646,3.471109198876426,ratio of means,True,3.460594099740164,3.1214186771024135,3.836624548640616,ratio of marginal means (eight cells),5.1029627282730726e-123,5.1029627282730726e-123,main (Holm within endpoint),1.0205925456546144e-122,True,significant,False
usd,Cost per run,USD,gamma,log,requested,AB,model:effort,two-way,-0.017829403961695,0.0227116230667342,-0.7850343372336891,0.432433436547305,-0.07131761584678,-0.2493734688117727,0.10673823711821272,0.9311660920478638,0.7792888789390905,1.1126429677273264,ratio of ratios (how much one factor's ratio shifts),False,1.1702355183587658,1.0395445437419606,1.317356891219795,ratio of marginal means (eight cells),0.0092724671124159,0.432433436547305,exploratory,,,CI only (no verdict),True
usd,Cost per run,USD,gamma,log,requested,AC,model:critic,two-way,0.0896270761034738,0.0227116230667342,3.946308717792644,7.936527086278151e-05,0.3585083044138952,0.18045245144890248,0.536564157378888,1.431192917297145,1.1977591684134576,1.7101210498223045,ratio of ratios (how much one factor's ratio shifts),True,2.119118829257603,1.9082331374108543,2.3533102556887657,ratio of marginal means (eight cells),8.607349137667025e-45,7.936527086278151e-05,exploratory,,,CI only (no verdict),True
usd,Cost per run,USD,gamma,log,requested,BC,effort:critic,two-way,-0.0185946908210531,0.0227116230667342,-0.8187301614867327,0.4129403842861089,-0.0743787632842124,-0.2524346162492051,0.10367708968078031,0.9283200137065386,0.776907008272917,1.109242211321869,ratio of ratios (how much one factor's ratio shifts),False,1.157003900923639,1.0277062591442896,1.3025687202364025,ratio of marginal means (eight cells),0.0158666253760793,0.4129403842861089,exploratory,,,CI only (no verdict),False
usd,Cost per run,USD,gamma,log,requested,ABC,model:effort:critic,three-way,-0.0239136670183832,0.0227116230667342,-1.0529263781860514,0.2923747354596258,-0.1913093361470656,-0.547421042077051,0.16480236978291982,0.825877075001174,0.5784396599690595,1.1791600580239925,ratio of ratio-of-ratios,False,1.0592333069257642,0.9403047099610936,1.1932038483007426,ratio of marginal means (eight cells),0.3436289805304962,0.2923747354596258,exploratory,,,CI only (no verdict),True
wallclock_min,Wall-clock time,minutes,gamma,log,requested,A,model,main,0.2614649557054206,0.022255346845102,11.74841073137279,7.195947359012313e-32,0.5229299114108412,0.4356905548511471,0.6101692679705353,1.6869630683421641,1.546030309141527,1.8407429512366007,ratio of means,True,1.8459419552185212,1.6585863235493654,2.0544614733973825,ratio of marginal means (eight cells),3.04392565541081e-29,3.04392565541081e-29,main (Holm within endpoint),3.04392565541081e-29,True,significant,False
wallclock_min,Wall-clock time,minutes,gamma,log,requested,B,effort,main,0.4043856460196341,0.022255346845102,18.170269321533,8.876159445136226e-74,0.8087712920392682,0.7215319354795742,0.8960106485989623,2.24514766040296,2.057582881700131,2.449810436237634,ratio of means,True,2.094536167944874,1.8807866533372717,2.332578100256482,ratio of marginal means (eight cells),2.6214157433444905e-41,2.6214157433444905e-41,main (Holm within endpoint),5.242831486688981e-41,True,significant,False
wallclock_min,Wall-clock time,minutes,gamma,log,requested,C,critic,main,0.6752098873566117,0.022255346845102,30.339221044546935,3.485828919129731e-202,1.3504197747132234,1.2631804181535293,1.4376591312729174,3.8590451203005016,3.53665165070417,4.210827277136546,ratio of means,True,3.9040409586441216,3.5447333856348355,4.299769305228372,ratio of marginal means (eight cells),2.864502032406156e-168,2.864502032406156e-168,main (Holm within endpoint),8.593506097218468e-168,True,significant,False
wallclock_min,Wall-clock time,minutes,gamma,log,requested,AB,model:effort,two-way,-0.0009132872026448,0.022255346845102,-0.0410367544033964,0.9672665947525446,-0.0036531488105792,-0.1781318619299674,0.170825564308809,0.9963535158194384,0.8368320699214123,1.1862838007379226,ratio of ratios (how much one factor's ratio shifts),False,1.1691899696772567,1.0467502436441944,1.3059516283796246,ratio of marginal means (eight cells),0.0056142525429274,0.9672665947525446,exploratory,,,CI only (no verdict),False
wallclock_min,Wall-clock time,minutes,gamma,log,requested,AC,model:critic,two-way,0.0960107779719884,0.022255346845102,4.31405444454434,1.6028744504664668e-05,0.3840431118879536,0.2095643987685654,0.5585218250073418,1.4682087375681636,1.2331407853018785,1.7480866116546383,ratio of ratios (how much one factor's ratio shifts),True,1.5700720549111733,1.410744318372272,1.7473940709945774,ratio of marginal means (eight cells),1.4197450291719732e-16,1.6028744504664668e-05,exploratory,,,CI only (no verdict),False
wallclock_min,Wall-clock time,minutes,gamma,log,requested,BC,effort:critic,two-way,-0.0356302462167532,0.022255346845102,-1.600974654079349,0.1093825330485935,-0.1425209848670128,-0.31699969798640104,0.03195772825237539,0.867169356667691,0.7283309750915276,1.0324738599082062,ratio of ratios (how much one factor's ratio shifts),False,1.4453074051903223,1.298748996077084,1.6084043197012032,ratio of marginal means (eight cells),1.4609943975642974e-11,0.1093825330485935,exploratory,,,CI only (no verdict),False
wallclock_min,Wall-clock time,minutes,gamma,log,requested,ABC,model:effort:critic,three-way,-0.053323528925955,0.022255346845102,-2.39598732372443,0.0165756635580909,-0.42658823140764,-0.7755456576464164,-0.07763080516886361,0.6527322715476587,0.4604524630311519,0.9253059816751191,ratio of ratio-of-ratios,True,1.0600615963127638,0.9482213207911652,1.185093145806467,ratio of marginal means (eight cells),0.3052060687507142,0.0165756635580909,exploratory,,,CI only (no verdict),False
n_engineered_features,Engineered features created,features,poisson,log,requested,A,model,main,0.3035824506461818,0.0131150101046321,23.147710007402665,1.5330462812077925e-118,0.6071649012923636,0.555755006368448,0.6585747962162791,1.8352209836121305,1.7432566579193438,1.9320368250938909,ratio of means,True,1.8213592233009384,1.728985006749581,1.9186687029402727,ratio of marginal means (eight cells),7.099853563957944e-113,7.099853563957944e-113,main (Holm within endpoint),2.129956069187383e-112,True,significant,False
n_engineered_features,Engineered features created,features,poisson,log,requested,B,effort,main,0.1036654851147307,0.0131150101046321,7.904338943522152,2.6935918907604316e-15,0.2073309702294614,0.15592107530554578,0.258740865153377,1.2303897267691417,1.1687339574791964,1.295298104458465,ratio of means,True,1.204855842185114,1.141122869560422,1.272148371723379,ratio of marginal means (eight cells),1.8067827623553814e-11,1.8067827623553814e-11,main (Holm within endpoint),3.613565524710763e-11,True,significant,False
n_engineered_features,Engineered features created,features,poisson,log,requested,C,critic,main,-0.019580518246671,0.0131150101046321,-1.4929853725202402,0.1354410158756497,-0.039161036493342,-0.09057093141725761,0.012248858430573613,0.9615958446544487,0.9134095421697327,1.0123241829291927,ratio of means,False,0.968834688346894,0.9165324316685532,1.024121592331896,ratio of marginal means (eight cells),0.2634913039914802,0.2634913039914802,main (Holm within endpoint),0.2634913039914802,False,not significant,False
n_engineered_features,Engineered features created,features,poisson,log,requested,AB,model:effort,two-way,-0.0354471746696804,0.0131150101046321,-2.7027943087257427,0.0068759282063306,-0.1417886986787216,-0.24460848852655281,-0.03896890883089037,0.8678046053740277,0.783011036043697,0.9617806115651543,ratio of ratios (how much one factor's ratio shifts),True,0.9904109589041238,0.9371412431519608,1.0467086735167062,ratio of marginal means (eight cells),0.73266307657114,0.0068759282063306,exploratory,,,CI only (no verdict),False
