term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,alpha_thresh,significant,p_holm
A,-0.009831856686016821,0.003548998484739065,-2.7703186485693,0.005600147615442509,-0.0048878335212143575,0.001764539713850416,-0.008346267809651786,-0.0014293992327769288,0.0056050585781388315,difference of marginal means (eight cells),0.0056050585781388315,pr_auc,beta,model,False,primary,0.05,True,
B,-0.008140691109193906,0.003548998477879024,-2.2937995493475105,0.02180201533138754,-0.004046694712231957,0.0017645397105133067,-0.007505128994128772,-0.0005882604303351427,0.021828268103690433,difference of marginal means (eight cells),0.021828268103690433,pr_auc,beta,effort,False,secondary,0.025,True,0.043656536207380865
C,-0.0011433375653520483,0.0035489984632002965,-0.3221578079583184,0.7473331462621211,-0.000569108414426367,0.001764539703386947,-0.004027542682355774,0.00288932585350304,0.7470548956669667,difference of marginal means (eight cells),0.7470548956669667,pr_auc,beta,critic,False,secondary,0.05,False,0.7470548956669667
AB,0.00267539585549586,0.0035489984645386075,0.7538453121995584,0.4509421119172241,0.0013271435401911447,0.0017645397040258208,-0.0021312907289904315,0.004785577809372721,0.45197960021817196,difference of marginal means (eight cells),0.45197960021817196,pr_auc,beta,model:effort,False,exploratory,,,
AC,-8.846647654223352e-05,0.0035489984629086986,-0.024927166767417505,0.9801130580168308,-4.4731158422184336e-05,0.0017645397032443003,-0.0035031654260720083,0.0034137031092276397,0.9797757577137397,difference of marginal means (eight cells),0.9797757577137397,pr_auc,beta,model:critic,False,exploratory,,,
BC,-0.00281855773430098,0.0035489984646939307,-0.7941839824222227,0.42708833190077666,-0.0014025052386142933,0.0017645397041163172,-0.00486093950797324,0.0020559290307446527,0.4267136683119642,difference of marginal means (eight cells),0.4267136683119642,pr_auc,beta,effort:critic,False,exploratory,,,
ABC,-0.002138860221246499,0.003548998463936622,-0.6026658627724598,0.5467309956185371,-0.0010643635526048634,0.0017645397037465774,-0.0045227978212391325,0.002394070716029406,0.5463782098088077,difference of marginal means (eight cells),0.5463782098088077,pr_auc,beta,model:effort:critic,False,exploratory,,,
