term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,p_holm,significant
A,0.4785739212372331,0.02670045803039001,17.92380942276452,7.687874983767564e-72,2.5863453815260993,0.1459134239770364,2.3156046987468675,2.8887410861453855,1.1749264105338358e-63,ratio of marginal means (eight cells),1.1749264105338358e-63,n_engineered_features_selected,poisson,model,False,main (Holm within endpoint),3.5247792316015075e-63,True
B,0.1795443146845357,0.02670045803039001,6.72439081307824,1.7632858311745758e-11,1.3877005347593563,0.06890736281827695,1.2590085305532392,1.5295470423263913,4.156560502512271e-11,ratio of marginal means (eight cells),4.156560502512271e-11,n_engineered_features_selected,poisson,effort,False,main (Holm within endpoint),8.313121005024542e-11,True
C,0.06863440037689045,0.02670045803039001,2.570532696434343,0.010154224096422915,1.1622276029055676,0.0613081147215983,1.0480689590002663,1.288820730120754,0.004372048412266361,ratio of marginal means (eight cells),0.004372048412266361,n_engineered_features_selected,poisson,critic,False,main (Holm within endpoint),0.004372048412266361,True
AB,-0.02942196617778573,0.02670045803039001,-1.101927395563707,0.27049323736182473,1.1011764705882328,0.057343481517701356,0.9943306383707904,1.219503425303261,0.06420056149506481,ratio of marginal means (eight cells),0.06420056149506481,n_engineered_features_selected,poisson,model:effort,False,exploratory,,
AC,0.026554709340593886,0.026700458030390003,0.9945413412148125,0.3199593890603455,1.1161137440758284,0.05868693596174337,1.0068180696730535,1.2372740689084833,0.03669056526447347,ratio of marginal means (eight cells),0.03669056526447347,n_engineered_features_selected,poisson,model:critic,False,exploratory,,
BC,-0.030761572423166378,0.026700458030390006,-1.152099053437738,0.24928037206777065,0.9626373626373617,0.050708159195423236,0.8682095918182002,1.06733523872362,0.4697550544915645,ratio of marginal means (eight cells),0.4697550544915645,n_engineered_features_selected,poisson,effort:critic,False,exploratory,,
ABC,-0.0020160049279500797,0.02670045803039001,-0.0755045072880584,0.9398133114786008,0.984444444444443,0.05174338722607743,0.8880781925006581,1.0912674946658032,0.7654906756962097,ratio of marginal means (eight cells),0.7654906756962097,n_engineered_features_selected,poisson,model:effort:critic,False,exploratory,,
