term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,p_holm,significant
A,0.2841769806641343,0.0246549459027907,11.526165248327244,9.738564051936624e-31,1.801183431952684,0.09623772426937378,1.622101447388594,2.00003628673395,3.2968286858689773e-28,ratio of marginal means (eight cells),3.2968286858689773e-28,n_features_after_fs,poisson,model,False,main (Holm within endpoint),9.890486057606931e-28,True
B,0.1413950359352647,0.0246549459027907,5.734956243374282,9.753752385554773e-09,1.3389328063241315,0.06996143731296796,1.2085986494787522,1.4833220777006435,2.324817838637212e-08,ratio of marginal means (eight cells),2.324817838637212e-08,n_features_after_fs,poisson,effort,False,main (Holm within endpoint),4.649635677274424e-08,True
C,0.09603433040644899,0.0246549459027907,3.8951345010081257,9.81442537205769e-05,1.2596658711217394,0.0651378776547888,1.1382544471662457,1.3940275927049723,8.036299796000995e-06,ratio of marginal means (eight cells),8.036299796000995e-06,n_features_after_fs,poisson,critic,False,main (Holm within endpoint),8.036299796000995e-06,True
AB,0.022826591323531303,0.024654945902790715,0.9258422798221407,0.354527951297266,1.1285971223021805,0.06116024459268672,1.0148717074759743,1.255066482872582,0.02559033872518032,ratio of marginal means (eight cells),0.02559033872518032,n_features_after_fs,poisson,model:effort,False,exploratory,,
AC,0.07415158228498474,0.02465494590279071,3.00757432514145,0.002633417198620006,1.217330210772857,0.06523348593028692,1.0959601799659298,1.3521411353707726,0.00024264650920380592,ratio of marginal means (eight cells),0.00024264650920380592,n_features_after_fs,poisson,model:critic,False,exploratory,,
BC,-0.0018646661316230953,0.024654945902790704,-0.07563050995832982,0.9397130625356624,1.0239418554938242,0.05496525423272655,0.9216854911303787,1.1375430486014066,0.6593904958934479,ratio of marginal means (eight cells),0.6593904958934479,n_features_after_fs,poisson,effort:critic,False,exploratory,,
ABC,-0.017035904087019105,0.024654945902790708,-0.6909730872737709,0.48958245394845523,0.9983115238497481,0.05360870300384729,0.8985807178829941,1.1091111558672224,0.9748949550197548,ratio of marginal means (eight cells),0.9748949550197548,n_features_after_fs,poisson,model:effort:critic,False,exploratory,,
