A,B,C,replicate,pr_auc,roc_auc,usd,wallclock_min,n_engineered_features,n_features_after_fs,n_engineered_features_selected,prop_engineered_selected,total_tokens,n_turns_total,inner_cv_score,n_features_after_fte,n_features_after_dc,wallclock_s,n_critic_invocations,n_critic_rejections,max_iter_hit,failure_flag,cell,sign
sonnet,xhigh,on,7,0.5252,0.7487,4.670902,48.15383333333333,12,40,6,0.15,1274992,29,0.5802713413282785,123,111,2889.23,4,2,False,False,sonnet/xhigh/on,-++
sonnet,xhigh,on,8,0.5217,0.753,4.398839,53.0325,14,60,11,0.1833,1294128,29,0.5932454579616195,129,115,3181.95,4,3,False,False,sonnet/xhigh/on,-++
sonnet,xhigh,on,9,0.5484,0.7545,4.452554,36.281666666666666,15,40,7,0.175,1488339,37,0.590183078527591,132,117,2176.9,4,3,False,False,sonnet/xhigh/on,-++
opus,medium,off,0,0.5336,0.7568,2.801523,7.4879999999999995,24,60,14,0.23329999999999998,475834,16,0.5928633128003251,141,117,449.28,0,0,False,False,opus/medium/off,+--
opus,medium,off,1,0.5513,0.758,3.447732,8.9665,24,50,12,0.24,573095,18,0.5828299765282231,144,120,537.99,0,0,False,False,opus/medium/off,+--
opus,medium,off,2,0.5459,0.7598,2.869578,8.19,21,40,10,0.25,473889,16,0.5787371740268012,141,120,491.4,0,0,False,False,opus/medium/off,+--
opus,medium,off,3,0.5177,0.7483,2.959212,7.0125,20,50,11,0.22,509327,17,0.5812357478377752,140,120,420.75,0,0,False,False,opus/medium/off,+--
opus,medium,off,4,0.5361,0.7555,2.976372,7.4135,20,60,14,0.23329999999999998,508295,17,0.5937556514016811,137,117,444.81,0,0,False,False,opus/medium/off,+--
opus,medium,off,5,0.5362,0.7491,3.085492,7.725333333333333,21,50,12,0.24,521151,17,0.5806904835039438,138,117,463.52,0,0,False,False,opus/medium/off,+--
opus,medium,off,6,0.5287,0.7548,3.28178,7.622833333333333,20,50,10,0.2,563620,18,0.5918245511969342,137,117,457.37,0,0,False,False,opus/medium/off,+--
opus,medium,off,7,0.5423,0.7531,2.775828,7.0425,20,60,13,0.2167,473187,16,0.5926577019519234,137,117,422.55,0,0,False,False,opus/medium/off,+--
opus,medium,off,8,0.5229,0.7503,3.011207,6.9645,20,40,8,0.2,518582,17,0.5775956378018294,137,117,417.87,0,0,False,False,opus/medium/off,+--
opus,medium,off,9,0.5382,0.7564,2.855688,7.623333333333333,24,60,16,0.2667,478215,16,0.5924235234699031,141,117,457.4,0,0,False,False,opus/medium/off,+--
opus,medium,on,0,0.5298,0.7543,11.991785,43.7205,18,84,14,0.16670000000000001,1711490,38,0.5904351514805212,138,120,2623.23,4,4,False,False,opus/medium/on,+-+
opus,medium,on,1,0.5392,0.758,13.561403,42.86233333333333,25,95,18,0.1895,2051553,42,0.5950693001976959,142,117,2571.74,4,4,False,False,opus/medium/on,+-+
opus,medium,on,2,0.5441,0.7558,19.663572,70.66633333333333,25,50,13,0.26,2845248,70,0.5870755248518981,142,117,4239.98,4,4,False,False,opus/medium/on,+-+
opus,medium,on,3,0.5356,0.7577,9.864169,36.00083333333334,25,60,17,0.2833,1426044,37,0.5969164145378338,142,117,2160.05,4,4,False,False,opus/medium/on,+-+
opus,medium,on,4,0.5414,0.761,10.230464,35.030166666666666,19,80,17,0.2125,1492316,33,0.5936247804890565,139,120,2101.81,4,3,False,False,opus/medium/on,+-+
opus,medium,on,5,0.5404,0.757,9.769988,31.613666666666667,19,60,13,0.2167,1494006,36,0.5940280636316275,136,117,1896.82,4,3,False,False,opus/medium/on,+-+
opus,medium,on,6,0.5491,0.7639,12.893123,40.86583333333333,23,60,14,0.23329999999999998,1961972,43,0.5967273952420292,143,120,2451.95,4,4,False,False,opus/medium/on,+-+
opus,medium,on,7,0.5346,0.7601,10.960269,39.75933333333333,20,110,18,0.1636,1561796,33,0.5934221320308003,140,120,2385.56,4,3,False,False,opus/medium/on,+-+
opus,medium,on,8,0.5279,0.7582,12.995781,38.498000000000005,26,100,18,0.18,2027743,40,0.5953898060813814,146,120,2309.88,4,3,False,False,opus/medium/on,+-+
opus,medium,on,9,0.5294,0.7513,12.414362,45.82899999999999,23,60,13,0.2167,1743944,35,0.588811670926137,141,118,2749.74,4,4,False,False,opus/medium/on,+-+
opus,xhigh,off,0,0.5465,0.759,4.712897,19.268666666666665,26,50,11,0.22,623932,17,0.5879132246534029,146,120,1156.12,0,0,False,False,opus/xhigh/off,++-
opus,xhigh,off,1,0.5418,0.7581,4.613313,20.665166666666668,29,60,15,0.25,591560,16,0.5927466866120911,147,118,1239.91,0,0,False,False,opus/xhigh/off,++-
opus,xhigh,off,2,0.5168,0.7494,4.86583,19.948500000000003,25,75,17,0.2267,650514,18,0.5881017436678453,142,117,1196.91,0,0,False,False,opus/xhigh/off,++-
opus,xhigh,off,3,0.5371,0.7581,4.833068,20.83566666666667,29,100,23,0.23,625251,17,0.5979128045239129,149,120,1250.14,0,0,False,False,opus/xhigh/off,++-
opus,xhigh,off,4,0.5351,0.7551,4.475568,18.9355,25,60,12,0.2,602903,17,0.5920039326222334,142,117,1136.13,0,0,False,False,opus/xhigh/off,++-
opus,xhigh,off,5,0.5306,0.7504,5.351072,24.014166666666664,28,75,18,0.24,678879,18,0.5890322432966425,145,117,1440.85,0,0,False,False,opus/xhigh/off,++-
opus,xhigh,off,6,0.5279,0.7538,5.036763,21.516000000000002,29,70,22,0.3143,654110,17,0.591171019674976,146,117,1290.96,0,0,False,False,opus/xhigh/off,++-
opus,xhigh,off,7,0.5473,0.7623,4.366202,18.291333333333334,21,70,16,0.2286,588245,17,0.5938025424580724,138,117,1097.48,0,0,False,False,opus/xhigh/off,++-
opus,xhigh,off,8,0.5368,0.7623,4.653303,21.131333333333334,23,100,20,0.2,595342,16,0.5966592593505822,143,120,1267.88,0,0,False,False,opus/xhigh/off,++-
opus,xhigh,off,9,0.5305,0.7592,4.477598,19.0085,23,90,19,0.21109999999999998,585033,16,0.5939029019279629,140,117,1140.51,0,0,False,False,opus/xhigh/off,++-
opus,xhigh,on,0,0.5437,0.7582,13.378822,70.40966666666667,21,70,16,0.2286,1428849,27,0.5917836887518446,138,117,4224.58,3,1,False,False,opus/xhigh/on,+++
opus,xhigh,on,1,0.5423,0.7614,14.290519,68.09366666666666,21,80,13,0.1625,1638322,30,0.5899426903640023,141,120,4085.62,4,2,False,False,opus/xhigh/on,+++
opus,xhigh,on,2,0.5227,0.7548,29.819053,140.74883333333335,25,108,21,0.19440000000000002,3412495,62,0.5936343902901677,142,117,8444.93,4,1,True,False,opus/xhigh/on,+++
opus,xhigh,on,3,0.5296,0.7572,15.478916,74.0,24,101,19,0.1881,1785796,31,0.5951029757394124,141,117,4440.0,4,2,False,False,opus/xhigh/on,+++
opus,xhigh,on,4,0.5333,0.7591,14.922874,70.35249999999999,34,126,30,0.23809999999999998,1708642,33,0.5983048200099841,151,117,4221.15,4,2,False,False,opus/xhigh/on,+++
opus,xhigh,on,5,0.5356,0.7612,12.323911,63.006166666666665,28,80,19,0.2375,1383454,26,0.5931255860262873,148,120,3780.37,4,1,False,False,opus/xhigh/on,+++
opus,xhigh,on,6,0.518,0.7546,18.840004,90.92933333333333,23,127,21,0.1654,2130423,33,0.5937277062704893,143,120,5455.76,4,3,False,False,opus/xhigh/on,+++
opus,xhigh,on,7,0.5236,0.7558,10.799656,56.551833333333335,22,85,19,0.2235,1161634,21,0.5957020710970445,142,120,3393.11,4,1,False,False,opus/xhigh/on,+++
opus,xhigh,on,8,0.5302,0.7601,17.267963,81.4475,23,134,21,0.1567,1992370,35,0.5994504304449686,143,120,4886.85,4,2,False,False,opus/xhigh/on,+++
opus,xhigh,on,9,0.5406,0.7594,18.218022,81.38816666666666,22,104,17,0.1635,2210898,40,0.5929892116315025,142,120,4883.29,4,3,False,False,opus/xhigh/on,+++
