term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,p_holm,significant
A,0.13965465264366494,0.02033346976481131,6.868215521452637,6.500995632487836e-12,1.424259862666293,0.06423321597216311,1.3037688066305937,1.5558864010902527,4.4475501126752224e-15,ratio of marginal means (eight cells),4.4475501126752224e-15,total_tokens,negbin,model,False,main (Holm within endpoint),8.895100225350445e-15,True
B,0.07869039015220776,0.020333469764811315,3.869993221146532,0.0001088383795500734,1.1195538174628483,0.05167401487533406,1.0227205940187656,1.2255554034268703,0.014416570400169665,ratio of marginal means (eight cells),0.014416570400169665,total_tokens,negbin,effort,False,main (Holm within endpoint),0.014416570400169665,True
C,0.5163533300787458,0.020333469764811304,25.39425568047105,2.9186271091331946e-142,2.8570401375579406,0.11805131298105602,2.6347849027608294,3.098043540125012,2.1326156935221412e-142,ratio of marginal means (eight cells),2.1326156935221412e-142,total_tokens,negbin,critic,False,main (Holm within endpoint),6.397847080566424e-142,True
AB,-0.022577031276509056,0.020333469764811304,-1.1103383503970587,0.26685325315478814,0.9671397782914138,0.04462872219677159,0.8835080291050326,1.058688002757662,0.4690228588313763,ratio of marginal means (eight cells),0.4690228588313763,total_tokens,negbin,model:effort,False,exploratory,,
AC,0.08171726469796432,0.020333469764811325,4.01885490490081,5.848166894654219e-05,1.3419080572240973,0.06058748950826494,1.2282613746583009,1.466070065537888,7.335090910830296e-11,ratio of marginal means (eight cells),7.335090910830296e-11,total_tokens,negbin,model:critic,False,exploratory,,
BC,-0.03601065384789441,0.02033346976481132,-1.7710038800270922,0.0765600565093001,0.9953896205057845,0.04593188868428083,0.9093157742261918,1.0896110291870826,0.9202311746986418,ratio of marginal means (eight cells),0.9202311746986418,total_tokens,negbin,effort:critic,False,exploratory,,
ABC,-0.005660337186544842,0.020333469764811308,-0.27837537085483105,0.7807242238073638,0.9775352305271036,0.0451038561349682,0.8930127257377497,1.0700576815769818,0.6224148689784654,ratio of marginal means (eight cells),0.6224148689784654,total_tokens,negbin,model:effort:critic,False,exploratory,,
