term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,p_holm,significant
A,0.2614649557054206,0.02225534684510206,11.74841073137279,7.195947359012313e-32,1.8459419552185212,0.10079787844609228,1.6585863235493654,2.0544614733973825,3.0439256554108094e-29,ratio of marginal means (eight cells),3.0439256554108094e-29,wallclock_min,gamma,model,False,main (Holm within endpoint),3.0439256554108094e-29,True
B,0.40438564601963417,0.02225534684510206,18.170269321533,8.876159445136226e-74,2.0945361679448746,0.11503276559698915,1.8807866533372717,2.332578100256482,2.621415743344491e-41,ratio of marginal means (eight cells),2.621415743344491e-41,wallclock_min,gamma,effort,False,main (Holm within endpoint),5.242831486688982e-41,True
C,0.6752098873566117,0.02225534684510206,30.339221044546935,3.485828919129731e-202,3.9040409586441216,0.19231581735878356,3.5447333856348355,4.299769305228372,2.864502032406156e-168,ratio of marginal means (eight cells),2.864502032406156e-168,wallclock_min,gamma,critic,False,main (Holm within endpoint),8.593506097218468e-168,True
AB,-0.000913287202644858,0.02225534684510206,-0.041036754403396485,0.9672665947525446,1.1691899696772567,0.06598935000775222,1.0467502436441944,1.3059516283796246,0.005614252542927447,ratio of marginal means (eight cells),0.005614252542927447,wallclock_min,gamma,model:effort,False,exploratory,,
AC,0.09601077797198841,0.022255346845102067,4.31405444454434,1.6028744504664668e-05,1.5700720549111733,0.08571794680730473,1.4107443183722719,1.7473940709945774,1.4197450291719732e-16,ratio of marginal means (eight cells),1.4197450291719732e-16,wallclock_min,gamma,model:critic,False,exploratory,,
BC,-0.0356302462167532,0.02225534684510206,-1.600974654079349,0.10938253304859358,1.4453074051903225,0.07884484491655483,1.298748996077084,1.6084043197012032,1.4609943975642974e-11,ratio of marginal means (eight cells),1.4609943975642974e-11,wallclock_min,gamma,effort:critic,False,exploratory,,
ABC,-0.05332352892595503,0.022255346845102063,-2.39598732372443,0.016575663558090994,1.0600615963127638,0.060302581846617055,0.9482213207911651,1.185093145806467,0.3052060687507142,ratio of marginal means (eight cells),0.3052060687507142,wallclock_min,gamma,model:effort:critic,False,exploratory,,
