endpoint,endpoint_label,unit,method,group1,group2,letter1,letter2,letters_share,estimate,ci_lo,ci_hi,p_raw,p_adj,significant
roc_auc,ROC-AUC,ROC-AUC,Mann-Whitney U + Holm,+--,--+,a,a,True,,,,0.6773559458061944,1.0,False
roc_auc,ROC-AUC,ROC-AUC,Mann-Whitney U + Holm,+--,---,a,a,True,,,,0.3074894566186813,1.0,False
roc_auc,ROC-AUC,ROC-AUC,Mann-Whitney U + Holm,-++,-+-,a,a,True,,,,0.4053255515634538,1.0,False
roc_auc,ROC-AUC,ROC-AUC,Mann-Whitney U + Holm,-++,--+,a,a,True,,,,0.5451985101800713,1.0,False
roc_auc,ROC-AUC,ROC-AUC,Mann-Whitney U + Holm,-++,---,a,a,True,,,,0.1985957586332152,1.0,False
roc_auc,ROC-AUC,ROC-AUC,Mann-Whitney U + Holm,-+-,--+,a,a,True,,,,0.8499394097939112,1.0,False
roc_auc,ROC-AUC,ROC-AUC,Mann-Whitney U + Holm,-+-,---,a,a,True,,,,0.472509068324386,1.0,False
roc_auc,ROC-AUC,ROC-AUC,Mann-Whitney U + Holm,--+,---,a,a,True,,,,0.939720366947744,1.0,False
usd,Cost per run,USD,Mann-Whitney U + Holm,+++,++-,f,d,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+++,+-+,f,f,True,,,,0.025748080821108,0.0514961616422161,False
usd,Cost per run,USD,Mann-Whitney U + Holm,+++,+--,f,e,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+++,-++,f,d,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+++,-+-,f,b,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+++,--+,f,c,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+++,---,f,a,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,++-,+-+,d,f,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,++-,+--,d,e,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,++-,-++,d,d,True,,,,0.075661572143887,0.075661572143887,False
usd,Cost per run,USD,Mann-Whitney U + Holm,++-,-+-,d,b,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,++-,--+,d,c,False,,,,0.0017062493689195,0.0102374962135175,True
usd,Cost per run,USD,Mann-Whitney U + Holm,++-,---,d,a,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+-+,+--,f,e,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+-+,-++,f,d,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+-+,-+-,f,b,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+-+,--+,f,c,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+-+,---,f,a,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+--,-++,e,d,False,,,,0.0002461281279052,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+--,-+-,e,b,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+--,--+,e,c,False,,,,0.0057953585443347,0.0173860756330041,True
usd,Cost per run,USD,Mann-Whitney U + Holm,+--,---,e,a,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,-++,-+-,d,b,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,-++,--+,d,c,False,,,,0.0017062493689195,0.0102374962135175,True
usd,Cost per run,USD,Mann-Whitney U + Holm,-++,---,d,a,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,-+-,--+,b,c,False,,,,0.0017062493689195,0.0102374962135175,True
usd,Cost per run,USD,Mann-Whitney U + Holm,-+-,---,b,a,False,,,,0.0001826717911095,0.0051148101510674,True
usd,Cost per run,USD,Mann-Whitney U + Holm,--+,---,c,a,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+++,++-,f,c,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+++,+-+,f,d,False,,,,0.0007685389131627,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+++,+--,f,e,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+++,-++,f,d,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+++,-+-,f,b,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+++,--+,f,c,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+++,---,f,a,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,++-,+-+,c,d,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,++-,+--,c,e,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,++-,-++,c,d,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,++-,-+-,c,b,False,,,,0.0017062493689195,0.0068249974756783,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,++-,--+,c,c,True,,,,0.025748080821108,0.0514961616422161,False
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,++-,---,c,a,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+-+,+--,d,e,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+-+,-++,d,d,True,,,,0.4726755935115871,0.4726755935115871,False
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+-+,-+-,d,b,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+-+,--+,d,c,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+-+,---,d,a,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+--,-++,e,d,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+--,-+-,e,b,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+--,--+,e,c,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,+--,---,e,a,False,,,,0.0002461281279052,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,-++,-+-,d,b,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,-++,--+,d,c,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,-++,---,d,a,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,-+-,--+,b,c,False,,,,0.0017062493689195,0.0068249974756783,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,-+-,---,b,a,False,,,,0.0001826717911095,0.0051148101510674,True
wallclock_min,Wall-clock time,minutes,Mann-Whitney U + Holm,--+,---,c,a,False,,,,0.0001826717911095,0.0051148101510674,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+++,++-,cd,d,True,,,,0.147225394854793,0.7361269742739653,False
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+++,+-+,cd,cd,True,,,,0.492526426877894,1.0,False
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+++,+--,cd,c,True,,,,0.0314893033109963,0.2204251231769743,False
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+++,-++,cd,b,False,,,,0.0001756155310459,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+++,-+-,cd,b,False,,,,0.0001746242085521,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+++,--+,cd,a,False,,,,0.0001649374219546,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+++,---,cd,a,False,,,,0.0001707002945198,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,++-,+-+,d,cd,True,,,,0.0318856070166572,0.2204251231769743,False
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,++-,+--,d,c,False,,,,0.0024877051246692,0.0223893461220235,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,++-,-++,d,b,False,,,,0.0001726539968822,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,++-,-+-,d,b,False,,,,0.0001716750871712,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,++-,--+,d,a,False,,,,0.000162110734474,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,++-,---,d,a,False,,,,0.0001678005162581,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+-+,+--,cd,c,True,,,,0.6443607734396007,1.0,False
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+-+,-++,cd,b,False,,,,0.0001996451951554,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+-+,-+-,cd,b,False,,,,0.0001716750871712,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+-+,--+,cd,a,False,,,,0.000162110734474,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+-+,---,cd,a,False,,,,0.0001678005162581,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+--,-++,c,b,False,,,,0.0001547487832067,0.0040610069446033,True
n_engineered_features,Engineered features created,features,Mann-Whitney U + Holm,+--,-+-,c,b,False,,,,0.0001538463426057,0.0040610069446033,True
