term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,p_holm,significant
A,0.24906080191852006,0.0240678380400239,10.348283111442807,4.260574658885327e-25,0.07252490825902541,0.00696969760997306,0.05886455196034332,0.0861852645577075,2.334187300453171e-25,difference of marginal means (eight cells),2.334187300453171e-25,prop_engineered_selected,beta,model,False,main (Holm within endpoint),7.002561901359514e-25,True
B,0.04769399993752222,0.02405959445555618,1.9823276749582972,0.04744257852892437,0.010714475238660703,0.006969293725790209,-0.002945089461569076,0.024374039938890483,0.12419949271891675,difference of marginal means (eight cells),0.12419949271891675,prop_engineered_selected,beta,effort,False,main (Holm within endpoint),0.2483989854378335,False
C,-0.017233075285151715,0.02405900231960299,-0.7162838698057903,0.4738160846855306,-0.008662722662780065,0.006969291155636315,-0.022322282325600778,0.0049968370000406485,0.21387345112739553,difference of marginal means (eight cells),0.21387345112739553,prop_engineered_selected,beta,critic,False,main (Holm within endpoint),0.2483989854378335,False
AB,-0.07027170694964861,0.024059998790692125,-2.9206862211827707,0.003492613961116377,-0.01797968642149267,0.006969309977362813,-0.031639282974219446,-0.0043200898687658935,0.009884684965877131,difference of marginal means (eight cells),0.009884684965877131,prop_engineered_selected,beta,model:effort,False,exploratory,,
AC,-0.06531267289628638,0.024059626899386392,-2.7146170291590055,0.006635245192292995,-0.019319781414952497,0.006969314298169416,-0.0329793864363046,-0.005660176393600395,0.0055692357701062015,difference of marginal means (eight cells),0.0055692357701062015,prop_engineered_selected,beta,model:critic,False,exploratory,,
BC,-0.04363047090127583,0.02405938236853749,-1.8134493326949033,0.06976254657575645,-0.01135998546464373,0.006969294986079642,-0.02501955263499541,0.0022995817057079506,0.10310044657850008,difference of marginal means (eight cells),0.10310044657850008,prop_engineered_selected,beta,effort:critic,False,exploratory,,
ABC,0.017166926145653176,0.024059127493651657,0.7135307026484196,0.4755174213606198,0.0027105425878944933,0.006969285526421902,-0.010949006041868709,0.016370091217657694,0.6973302252777487,difference of marginal means (eight cells),0.6973302252777487,prop_engineered_selected,beta,model:effort:critic,False,exploratory,,
