group1,group2,p_raw,p_adj,reject
+++,++-,0.00018267179110955002,0.005114810151067401,True
+++,+-+,1.0,1.0,False
+++,+--,0.00018267179110955002,0.005114810151067401,True
+++,-++,0.0072845570094796615,0.03642278504739831,True
+++,-+-,0.00018267179110955002,0.005114810151067401,True
+++,--+,0.0013149446697132139,0.013149446697132139,True
+++,---,0.00018267179110955002,0.005114810151067401,True
++-,+-+,0.00018267179110955002,0.005114810151067401,True
++-,+--,0.00018267179110955002,0.005114810151067401,True
++-,-++,0.00018267179110955002,0.005114810151067401,True
++-,-+-,0.0072845570094796615,0.03642278504739831,True
++-,--+,0.00018267179110955002,0.005114810151067401,True
++-,---,0.00018267179110955002,0.005114810151067401,True
+-+,+--,0.00018267179110955002,0.005114810151067401,True
+-+,-++,0.0013149446697132139,0.013149446697132139,True
+-+,-+-,0.00018267179110955002,0.005114810151067401,True
+-+,--+,0.0017062493689195967,0.013149446697132139,True
+-+,---,0.00018267179110955002,0.005114810151067401,True
+--,-++,0.00018267179110955002,0.005114810151067401,True
+--,-+-,0.18587673236587576,0.3717534647317515,False
+--,--+,0.00018267179110955002,0.005114810151067401,True
+--,---,0.0017062493689195967,0.013149446697132139,True
-++,-+-,0.00024612812790522973,0.005114810151067401,True
-++,--+,0.025748080821108063,0.07724424246332419,False
-++,---,0.00018267179110955002,0.005114810151067401,True
-+-,--+,0.00032983852077799353,0.005114810151067401,True
-+-,---,0.0013149446697132139,0.013149446697132139,True
--+,---,0.00018267179110955002,0.005114810151067401,True
