term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,p_holm,significant
A,0.009016213765119392,0.0017870451814471888,5.045319423775208,4.527643253300856e-07,0.004360893444502523,0.0008649204168720763,0.002665680577939883,0.006056106311065162,4.607895728230295e-07,difference of marginal means (eight cells),4.607895728230295e-07,inner_cv_score,beta,model,False,main (Holm within endpoint),1.3823687184690885e-06,True
B,0.00582636333010643,0.001787045180007343,3.2603335356538046,0.0011128126781224702,0.002820687650946674,0.000864920416264141,0.0011254747855755655,0.004515900516317782,0.0011093760181024683,difference of marginal means (eight cells),0.0011093760181024683,inner_cv_score,beta,effort,False,main (Holm within endpoint),0.0022187520362049367,True
C,0.004475213388716256,0.0017870451795836582,2.5042530764436974,0.012271022550349243,0.002163994632954247,0.0008649204160815808,0.0004687817679409501,0.003859207497967544,0.012350854425917233,difference of marginal means (eight cells),0.012350854425917233,inner_cv_score,beta,critic,False,main (Holm within endpoint),0.012350854425917233,True
AB,0.0014893599724748862,0.0017870451790421066,0.8334204361152269,0.40460765309247393,0.0007181730522454188,0.000864920415851844,-0.0009770398123176021,0.0024133859168084396,0.406349823748579,difference of marginal means (eight cells),0.406349823748579,inner_cv_score,beta,model:effort,False,exploratory,,
AC,0.004549613383374188,0.0017870451796040874,2.545886044348435,0.01090007650232268,0.0022000214395021533,0.0008649204160902669,0.0005048085744718321,0.0038952343045324748,0.010971306295739884,difference of marginal means (eight cells),0.010971306295739884,inner_cv_score,beta,model:critic,False,exploratory,,
BC,-0.0024438909146572334,0.0017870451791565625,-1.3675596695382288,0.17144994777559408,-0.0011839085412260753,0.0008649204159016583,-0.0028791214058867306,0.0005113043234345801,0.17105982133677766,difference of marginal means (eight cells),0.17105982133677766,inner_cv_score,beta,effort:critic,False,exploratory,,
ABC,-0.0023317951281261766,0.0017870451791402661,-1.3048327794644707,0.19194979466033568,-0.0011295935972958082,0.0008649204158946769,-0.00282480646194278,0.0005656192673511638,0.19154959532776272,difference of marginal means (eight cells),0.19154959532776272,inner_cv_score,beta,model:effort:critic,False,exploratory,,
