term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,p_holm,significant
A,0.004440328288868188,0.002162327468345775,2.053494835481663,0.04002461011032409,0.0016359186176234664,0.0007979410096539695,7.198297691415824e-05,0.0031998542583327747,0.040347367895849896,difference of marginal means (eight cells),0.040347367895849896,roc_auc,beta,model,False,main (Holm within endpoint),0.1210421036875497,False
B,0.0007536221138506837,0.002162327466795413,0.34852358184561094,0.7274470068997779,0.0002771268521781778,0.0007979410094597895,-0.0012868087881505446,0.0018410624925069001,0.728364124839771,difference of marginal means (eight cells),0.728364124839771,roc_auc,beta,effort,False,main (Holm within endpoint),0.728364124839771,False
C,0.0020868299801812935,0.0021623274671047437,0.965085081666868,0.3345021984714841,0.0007673600379378698,0.0007979410094982104,-0.0007965756024661563,0.002331295678341896,0.3362128101273255,difference of marginal means (eight cells),0.3362128101273255,roc_auc,beta,critic,False,main (Holm within endpoint),0.672425620254651,False
AB,0.0033222629330975357,0.002162327467636745,1.536429140739034,0.12443316428267423,0.0012271615923098445,0.0007979410095667761,-0.0003367740482285678,0.0027910972328482565,0.12407058073762044,difference of marginal means (eight cells),0.12407058073762044,roc_auc,beta,model:effort,False,exploratory,,
AC,0.004574151897078491,0.002162327468434004,2.115383522548124,0.03439727300986478,0.0016873177800365013,0.0007979410096661158,0.00012338213930338676,0.003251253420769616,0.03446493872530325,difference of marginal means (eight cells),0.03446493872530325,roc_auc,beta,model:critic,False,exploratory,,
BC,-0.0014277493575148676,0.002162327466910605,-0.6602835968942041,0.5090718544197015,-0.0005288296943888326,0.000797941009474762,-0.0020927653347469007,0.0010351059459692354,0.5074952647138005,difference of marginal means (eight cells),0.5074952647138005,roc_auc,beta,effort:critic,False,exploratory,,
ABC,-0.0014430511397717104,0.0021623274669147563,-0.6673601301613575,0.5045421264662455,-0.0005332836703552113,0.0007979410094749981,-0.002097219310713742,0.0010306519700033193,0.5039263622706149,difference of marginal means (eight cells),0.5039263622706149,roc_auc,beta,model:effort:critic,False,exploratory,,
