term,contrast,boot_lo,boot_hi,boot_se,label,delta_se
A,-0.0048878335212143575,-0.00822393932914628,-0.0013772811970539623,0.0017854045171211308,model,0.001764539713850416
B,-0.004046694712231957,-0.007613966139466155,-0.0004023268207856147,0.0018299252015166482,effort,0.0017645397105133067
C,-0.000569108414426367,-0.004146749361339674,0.0027340691030475423,0.0017909174179644952,critic,0.001764539703386947
AB,0.0013271435401911447,-0.0020769314798582236,0.004915353576477343,0.0017500212331266218,model:effort,0.0017645397040258208
AC,-4.4731158422184336e-05,-0.0033814939870451585,0.0034420544940277765,0.0017639807021220873,model:critic,0.0017645397032443003
BC,-0.0014025052386142933,-0.00481324183026458,0.0019763935073887177,0.0017592868241252954,effort:critic,0.0017645397041163172
ABC,-0.0010643635526048634,-0.004575340897178037,0.002464157804441319,0.0017961034813842663,model:effort:critic,0.0017645397037465774
