term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,p_holm,significant
A,0.6138558879267461,0.02271162306673423,27.02827033202494,6.878925486627801e-161,3.7047417324504837,0.1929084567431771,3.345301661221483,4.1028022863411095,1.3889955710663797e-139,ratio of marginal means (eight cells),1.3889955710663797e-139,usd,gamma,model,True,main (Holm within endpoint),4.1669867131991394e-139,True
B,0.20280931304731162,0.02271162306673423,8.929758672526004,4.2693910730091593e-19,1.4146339785915654,0.08568812920179143,1.256274521633751,1.592955408172498,1.0250836941129387e-08,ratio of marginal means (eight cells),1.0250836941129387e-08,usd,gamma,effort,False,main (Holm within endpoint),1.0250836941129387e-08,True
C,0.5777231351263703,0.022711623066734223,25.437333713615693,9.748820076347612e-143,3.460594099740164,0.1821306653914194,3.1214186771024135,3.836624548640616,5.1029627282730726e-123,ratio of marginal means (eight cells),5.1029627282730726e-123,usd,gamma,critic,False,main (Holm within endpoint),1.0205925456546145e-122,True
AB,-0.01782940396169507,0.02271162306673423,-0.7850343372336891,0.43243343654730504,1.1702355183587658,0.07070642043719175,1.0395445437419606,1.317356891219795,0.009272467112415906,ratio of marginal means (eight cells),0.009272467112415906,usd,gamma,model:effort,True,exploratory,,
AC,0.0896270761034738,0.02271162306673423,3.946308717792644,7.936527086278151e-05,2.119118829257603,0.11333450444704309,1.9082331374108545,2.3533102556887657,8.607349137667025e-45,ratio of marginal means (eight cells),8.607349137667025e-45,usd,gamma,model:critic,True,exploratory,,
BC,-0.018594690821053122,0.022711623066734233,-0.8187301614867327,0.4129403842861089,1.157003900923639,0.06995541406561118,1.0277062591442896,1.3025687202364025,0.01586662537607935,ratio of marginal means (eight cells),0.01586662537607935,usd,gamma,effort:critic,False,exploratory,,
ABC,-0.023913667018383253,0.02271162306673423,-1.0529263781860514,0.2923747354596258,1.0592333069257642,0.0643640072301554,0.9403047099610935,1.1932038483007426,0.3436289805304962,ratio of marginal means (eight cells),0.3436289805304962,usd,gamma,model:effort:critic,True,exploratory,,
