term,coef,se,z,p_link,effect,eff_se,eff_lo,eff_hi,p_response,scale,p,endpoint,family,label,structural,tier,p_holm,significant
A,0.05732940267848852,0.026961044036624665,2.126379178811124,0.033471700008676074,1.1559829152640027,0.060288127829283854,1.0436589225123565,1.280395799391483,0.005447041469247624,ratio of marginal means (eight cells),0.005447041469247624,n_turns_total,negbin,model,False,main (Holm within endpoint),0.010894082938495248,True
B,-0.010687619864375546,0.02696104403662464,-0.3964097180308441,0.6918027981096788,0.9385206628608955,0.04890859088972282,0.8473945356334752,1.0394462054896203,0.22338831946626947,ratio of marginal means (eight cells),0.22338831946626947,n_turns_total,negbin,effort,False,main (Holm within endpoint),0.22338831946626947,False
C,0.351130095617901,0.026961044036624623,13.023608994552147,8.982305730627585e-39,2.030030028860717,0.10925633049348787,1.8267989242271774,2.2558705632146303,1.5742491884021132e-39,ratio of marginal means (eight cells),1.5742491884021132e-39,n_turns_total,negbin,critic,False,main (Holm within endpoint),4.7227475652063395e-39,True
AB,-0.034270513756944045,0.026961044036624648,-1.271112265177491,0.20368871253279375,0.9311004815284332,0.04853594728964951,0.8406699746865818,1.0312585590150227,0.17084628592115925,ratio of marginal means (eight cells),0.17084628592115925,n_turns_total,negbin,model:effort,False,exploratory,,
AC,0.043369003313451664,0.02696104403662466,1.6085802632323123,0.10770815276011407,1.1377118723007262,0.05931534922553061,1.0271984216503594,1.2601151608998593,0.013335515227339327,ratio of marginal means (eight cells),0.013335515227339327,n_turns_total,negbin,model:critic,False,exploratory,,
BC,-0.05635893144297617,0.026961044036624658,-2.0903838651951525,0.03658333109702814,0.8842203642024009,0.04611440155836398,0.7983036757916719,0.9793837560560846,0.01830442466495713,ratio of marginal means (eight cells),0.01830442466495713,n_turns_total,negbin,effort:critic,False,exploratory,,
ABC,0.008433429562669442,0.026961044036624655,0.31280055591368155,0.7544321930070116,0.9842674555488434,0.0512934788242629,0.8886979078966701,1.0901144420891737,0.7609063519245001,ratio of marginal means (eight cells),0.7609063519245001,n_turns_total,negbin,model:effort:critic,False,exploratory,,
